name,地點,lat,lng,type
淨土宗善導寺,臺北市中正區忠孝東路一段23號,25.04471,121.5246,T
城隍廟,臺北市中正區武昌街一段14號,25.04404,121.5127,T
華嚴蓮社,臺北市中正區濟南路二段44號,25.04038,121.5306,T
東和禪寺,台北市中正區仁愛路一段21之33號,25.03945,121.5226,T
聖靈寺,臺北市中正區汀州路三段10號,25.01938,121.5291,T
十普寺,臺北市中正區南昌路二段140號,25.02525,121.5228,T
寶藏巖,臺北市中正區汀州路三段203巷23號,25.01999,121.5264,T
通法寺,臺北市中正區廈門街34巷15號,25.0261,121.517,T
光華寺,臺北市中正區水源路157號,25.02398,121.5155,T
南福宮,臺北市中正區和平西路一段55巷1號,25.027,121.5199,T
蓮雲禪苑,臺北市中正區連雲街74巷5號,25.03448,121.5297,T
長慶廟,臺北市中正區晉江街34號,25.02506,121.5219,T
二二八公園福德宮,臺北市中正區懷寧街109號,25.04044,121.5142,T
北安宮,臺北市萬華區西藏路256號,25.0297,121.5016,T
法華寺,臺北市萬華區西寧南路194號,25.03882,121.5062,T
湄聖宮,臺北市萬華區武成街124號,25.02052,121.4939,T
艋舺龍山寺,臺北市萬華區廣州街211號,25.0368,121.4999,T
廣照宮,臺北市萬華區長泰街54號,25.02332,121.5002,T
理教總公所台灣清心堂公所,臺北市萬華區中華路一段174號,25.0401,121.507,T
真武殿,臺北市萬華區西昌街38、40號,25.04233,121.5006,T
集義宮,臺北市萬華區康定路249號,25.03488,121.5015,T
慈雲寺,臺北市萬華區漢口街二段119、121、123號,25.04644,121.5042,T
先天道院,臺北市萬華區寶興街188巷2號,25.02339,121.4951,T
青龍宮,臺北市萬華區雙園街60巷88號,25.0288,121.4924,T
艋舺龍津宮,臺北市萬華區長沙街二段184號,25.0413,121.4997,T
助順將軍廟,臺北市萬華區康定路9、11、13號,25.04603,121.5033,T
妙覺精舍,臺北市萬華區雙園街21巷50號,25.03057,121.4953,T
台北天后宮,臺北市萬華區成都路51號,25.04279,121.5063,T
新約龍華佛教聖國山保安堂,臺北市萬華區康定路188巷4弄6號,25.03892,121.5014,T
艋舺清水巖祖師廟,臺北市萬華區康定路81號,25.04028,121.5026,T
巖清寺,臺北市萬華區環河南路三段203號,25.02158,121.4923,T
艋舺青山宮,臺北市萬華區貴陽街二段218號,25.04,121.4995,T
蓮池寺,臺北市萬華區桂林路246巷48號,25.03678,121.4926,T
台北朝天宮,臺北市萬華區雙園街27號,25.02952,121.4947,T
楊聖廟,臺北市萬華區東園街154巷39號,25.02239,121.496,T
北天宮,臺北市萬華區桂林路246巷30號,25.03704,121.4932,T
萬和宮,臺北市大同區迪化街二段304號,25.07164,121.512,T
聖觀寺,臺北市大同區赤峰街33巷1號,25.05424,121.5196,T
臺疆樂善壇,臺北市大同區長安西路263號,25.05216,121.5109,T
普濟寺,臺北市大同區華陰街100號,25.05051,121.5141,T
醒心宮,臺北市大同區迪化街一段307巷9號,25.06213,121.5096,T
金萬成團,臺北市大同區民權西路184巷1號,25.06239,121.5148,T
智仁堂,臺北市大同區迪化街二段146巷27號,25.06723,121.5095,T
覺修宮,臺北市大同區重慶北路三段340號,25.07623,121.5135,T
天師宮,臺北市大同區延平北路三段99號,25.06784,121.511,T
至善堂,臺北市大同區保安街49巷16號,25.05963,121.5119,T
雙福宮,臺北市大同區雙連街37號,25.05876,121.5191,T
台灣佛教道友會,臺北市大同區保安街1之12號8樓,25.05963,121.5144,T
台北保安宮,臺北市大同區哈密街61號,25.0731,121.5154,T
青雲宮,臺北市大同區民權西路160巷30弄7號,25.06129,121.5158,T
法主公廟,臺北市大同區南京西路344巷2號,25.05381,121.5121,T
菩提講堂,臺北市大同區南京西路18巷4弄2號,25.05225,121.5201,T
北門口福聚宮,臺北市大同區延平北路一段68號,25.05162,121.5118,T
台北霞海城隍廟,臺北市大同區迪化街一段61號,25.0556,121.5102,T
瞿公真人廟,臺北市大同區天水路49號,25.05286,121.5128,T
樹人書院文昌祠,臺北市大同區迪化街二段364巷14號,25.07293,121.5121,T
真聖堂,臺北市大同區延平北路二段61巷16號,25.05546,121.5122,T
龍雲寺,臺北市大同區延平北路三段18巷1號,25.06398,121.5108,T
平光寺,臺北市大同區敦煌路78號,25.07571,121.5177,T
和德祠,臺北市大同區甘谷街42號,25.05286,121.5106,T
祠宇媽祖宮,臺北市大同區保安街49巷17號,25.06025,121.5122,T
台北大橋福德廟,臺北市大同區迪化街二段25號,25.06385,121.5096,T
福壽宮,臺北市大同區敦煌路臨2之1號,25.07489,121.5209,T
台北協天宮,臺北市大同區大龍街89之1號,25.06679,121.5166,T
孔廟,臺北市大同區大龍街275號,25.07276,121.5162,T
台北行天宮,臺北市中山區民權東路二段109號,25.06287,121.5339,T
蓮友念佛團,臺北市中山區朱崙街63號,25.05008,121.542,T
永靜廟,臺北市中山區錦西街9號,25.06062,121.5215,T
朱厝崙福聚宮,臺北市中山區龍江路55巷21號,25.04953,121.5422,T
景福宮,臺北市中山區德惠街11號,25.06694,121.5255,T
九府仙師普惠堂,臺北市中山區民權西路70巷49號,25.06065,121.5206,T
臨濟護國禪寺,臺北市中山區酒泉街5巷27號,25.07073,121.5193,T
雙靜廟,臺北市中山區松江路235巷22號,25.05871,121.5342,T
中庄仔福德宮,臺北市中山區吉林路236巷35號,25.05943,121.529,T
妙道院,臺北市中山區農安街87號,25.06498,121.5288,T
劍潭古寺,臺北市中山區北安路805巷6號,25.08618,121.5554,T
圓玄學社,臺北市中山區長春路163巷18號,25.05557,121.5334,T
福正宮,臺北市中山區中山北路四段67號,25.0805,121.5246,T
景新宮,臺北市中山區濱江街6之1號,25.07088,121.5292,T
慧日講堂,臺北市中山區朱崙街36號,25.04987,121.5412,T
九府仙師廟,臺北市中山區民權西路70巷31、33號,25.06152,121.5202,T
文昌宮,臺北市中山區民生西路45巷9弄2之1號,25.05897,121.5209,T
地藏庵,臺北市中山區玉門街11號,25.0726,121.5205,T
圓通巖,臺北市中山區中山北路四段1巷1弄3號,25.08163,121.5288,T
大忠宮,臺北市中山區中山北路四段71巷2弄臨5號,25.08045,121.5263,T
圓明宮,臺北市中山區中山北路二段128巷3之2號,25.06187,121.5219,T
台北保霞宮,臺北市中山區松江路226巷21號,25.05857,121.5312,T
下塔悠福德爺宮,臺北市中山區敬業三路196號,25.07839,121.5563,T
鎮安宮,臺北市中山區基湖路151巷46弄6號,25.07716,121.5647,T
新福宮,臺北市中山區新生北路二段62巷33號,25.05629,121.5261,T
中嶽殿,臺北市中山區民族東路115號,25.06831,121.5383,T
台北神德宮,臺北市中山區濱江街180巷臨15號,25.06874,121.5382,T
金剛寺,臺北市中山區中山北路四段71巷2弄臨3號,25.08163,121.5288,T
植福宮,臺北市中山區北安路608巷14弄1號,25.08191,121.5493,T
圓山藥師寺,臺北市中山區中山北路四段1巷1弄6號旁,25.07932,121.5243,T
松山慈祐宮,臺北市松山區八德路四段761號,25.0511,121.5778,T
放生念佛會,臺北市松山區延吉街33號,25.04579,121.5537,T
中崙福成宮,臺北市松山區市民大道四段71號,25.04535,121.5469,T
台北府城隍廟,臺北市松山區虎林街3號,25.04718,121.5771,T
松山霞海城隍廟,臺北市松山區八德路四段439號,25.04991,121.5702,T
松山慈福宮,臺北市松山區八德路四段829巷26號,25.04813,121.5588,T
法光寺,臺北市松山區光復北路60巷20號,25.04991,121.5566,T
福德宮,臺北市松山區八德路四段181巷16弄11號,25.04936,121.5631,T
台北佛教蓮社,臺北市松山區南京東路五段59巷29弄4號,25.05299,121.5596,T
松山福德宮,臺北市松山區饒河街92號,25.0503,121.5742,T
劍童廟,臺北市松山區八德路三段199巷1號,25.04921,121.5564,T
松山聚福廟,臺北市松山區八德路四段490號,25.04962,121.5703,T
松山水福宮,臺北市松山區松河街3號,25.05124,121.5712,T
圓通學苑,臺北市大安區潮州街58之1號,25.02921,121.5236,T
白雲禪寺,臺北市大安區安和路二段20巷2號,25.03226,121.5522,T
天德堂總堂,臺北市大安區臥龍街420號,25.01398,121.5621,T
通化堂,臺北市大安區復興南路二段179號4樓,25.02694,121.5437,T
福佑宮,臺北市大安區安東街32號,25.04411,121.5425,T
觀音禪院,臺北市大安區新生南路一段137巷6號,25.03694,121.5333,T
福景宮,臺北市大安區光復南路698號,25.02971,121.5572,T
法雲寺,臺北市大安區新生南路一段165巷5之1號,25.03434,121.5335,T
大安車層景福宮,臺北市大安區延吉街77號,25.04404,121.554,T
九龍蓮社,臺北市大安區四維路52巷1之1及3號,25.03517,121.5479,T
一心寺,臺北市大安區建國南路二段11巷6號,25.03281,121.5384,T
福安宮,臺北市大安區臥龍街61號,25.02208,121.5475,T
夏教養聖堂,臺北市大安區建國南路一段44巷7號,25.04411,121.5358,T
夏教養聖堂,臺北市大安區建國南路一段44巷7號,25.04411,121.5358,T
泰安宮,臺北市大安區潮州街98巷3、5號,25.02953,121.5244,T
松山寺,臺北市信義區吳興街284巷17之1號,25.02387,121.564,T
靈源寺,臺北市信義區虎林街26巷5號,25.04898,121.5756,T
承天武聖廟,臺北市信義區臥龍街477之12號,25.01167,121.5641,T
松山慈惠堂,臺北市信義區福德街251巷33號,25.03652,121.5875,T
松山奉天宮,臺北市信義區福德街221巷12號,25.03728,121.5847,T
真光禪寺,臺北市信義區福德街221巷200號,25.03198,121.5873,T
天寶聖道宮,臺北市信義區松山路664之10號,25.028,121.579,T
興雅福德宮,臺北市信義區永吉路30巷30號,25.04454,121.5687,T
松山五分埔福德宮,臺北市信義區虎林街47之3號,25.04768,121.5768,T
松山靈隱寺,臺北市信義區松山路677之15號,25.02501,121.5814,T
狀元廟,臺北市信義區吳興街336巷52號,25.02497,121.5654,T
三張犁福佑宮,臺北市信義區信義路五段150巷18之1號,25.02803,121.569,T
代天殿靈雲宮,臺北市信義區信義路五段150巷22弄43號,25.02761,121.5713,T
石泉巖,臺北市信義區臥龍街431巷50號,25.02214,121.5471,T
普陀山慈航寺,臺北市信義區松山路臨677之7號,25.02635,121.5824,T
港口奉聖宮,臺北市信義區臥龍街431巷52號,25.02212,121.5471,T
吉福宮,臺北市信義區松山路臨679之1號,25.03493,121.582,T
信義天后宮,臺北市信義區吳興街600巷臨68號,25.01948,121.5704,T
中坡福壽宮,臺北市信義區福德街221巷14號,25.03611,121.5849,T
松山順安宮,臺北市信義區松隆路臨45號,25.04437,121.5683,T
松山進安宮,臺北市信義區永吉路517巷8弄12之3號,25.04643,121.5805,T
峰碧山圓覺寺,臺北市內湖區碧山路39號,25.09781,121.591,T
福德祠,臺北市內湖區康寧路一段236號,25.07822,121.5965,T
碧山巖開漳聖王廟,臺北市內湖區碧山路24號,25.09729,121.5877,T
金龍院,臺北市內湖區內湖路三段256巷2號,25.09225,121.5863,T
太陽堂,臺北市內湖區碧山路2號,25.08755,121.5908,T
俔頭福德祠,臺北市內湖區內湖路二段450號,25.0838,121.5926,T
金碧宮,臺北市內湖區金龍路92號,25.08525,121.5914,T
恆光禪寺,臺北市內湖區碧山路44之6號,25.10557,121.5878,T
台北護國延平宮,臺北市內湖區內湖路三段348巷6號,25.09138,121.5835,T
內湖承天宮,臺北市內湖區文湖街21巷93號,25.08656,121.5647,T
三教山清靈宮,臺北市內湖區康樂街236之6號,25.08726,121.6229,T
碧霞宮,臺北市內湖區碧山路29號,25.0989,121.5883,T
竹月寺,臺北市內湖區環山路二段50巷14弄臨14之7號,25.08808,121.5732,T
新坡尾福德廟,臺北市內湖區內湖路三段365號旁,25.09166,121.5804,T
慈善總堂,臺北市南港區研究院路二段83號,25.03869,121.6177,T
玉成公園福德宮,臺北市南港區中坡南路51號,25.04267,121.5841,T
明心禪寺,臺北市南港區研究院路三段280巷1號,25.03432,121.6137,T
新福宮,臺北市南港區南港路二段238巷2號,25.05447,121.5973,T
金山寺,臺北市南港區中南街168巷1號,25.05097,121.6141,T
富南宮,臺北市南港區研究院路一段112、114號,25.05188,121.6158,T
西新福壽宮,臺北市南港區成功路一段79號,25.05768,121.5927,T
南港慈雲寺,臺北市南港區福山街44巷15弄1號,25.04528,121.6173,T
坤元宮,臺北市南港區三重路79巷8弄2之1號,25.06043,121.6127,T
無極明聖宮,臺北市南港區忠孝東路七段478巷臨12號,25.05057,121.6097,T
南港聖德宮,臺北市南港區研究院路四段162巷臨6號,25.04298,121.6173,T
護國九天宮,臺北市南港區舊莊街二段122巷30號,25.03703,121.6275,T
台北南港慈岩宮,臺北市南港區研究院路三段161巷12號,25.02717,121.6123,T
天達堂,臺北市南港區研究院路三段25巷8號,25.02651,121.6201,T
後山坡福德爺廟,臺北市南港區東新街170巷臨1號,25.04593,121.5926,T
士林神農宮,臺北市士林區前街74號,25.09781,121.5264,T
妙德蘭若,臺北市士林區仰德大道二段41巷24號,25.10569,121.5424,T
南海普陀山慧濟寺,臺北市士林區中山北路七段190巷34之1號,25.12634,121.5362,T
葫蘆寺,臺北市士林區延平北路五段285巷35號,25.0852,121.5084,T
東方寺,臺北市士林區永公路245巷24號,25.12317,121.5591,T
湧泉寺,臺北市士林區劍南路211號,25.09888,121.5554,T
昭明寺,臺北市士林區中山北路五段56號,25.08333,121.5265,T
淨光寺,臺北市士林區中山北路七段190巷113之3號,25.12778,121.5375,T
永明寺,臺北市士林區仰德大道二段100巷20號,25.10702,121.5478,T
共和宮,臺北市士林區社子街117號,25.08822,121.5053,T
吉祥寺,臺北市士林區東山路25巷81弄40號,25.12344,121.5414,T
慈諴宮,臺北市士林區大南路84號,25.08949,121.5247,T
士林街福德宮,臺北市士林區大南路138號,25.08988,121.5229,T
圓明寺,臺北市士林區劍南路203巷1號,25.09982,121.5555,T
報恩寺,臺北市士林區中山北路五段102號,25.08514,121.5263,T
金鶴宮,臺北市士林區東山路25巷112號,25.12044,121.5435,T
淨因寺,臺北市士林區劍南路201號,25.09935,121.5548,T
承德福德宮,臺北市士林區後港街38巷5之1號,25.08301,121.5225,T
芝山巖惠濟宮,臺北市士林區至誠路一段326巷26號,25.103,121.5307,T
天母三玉宮,臺北市士林區天母東路6號,25.11807,121.5305,T
妙光寺,臺北市士林區至善路一段138巷24弄8號,25.09525,121.5395,T
慈悟寺,臺北市士林區中山北路七段219巷167號,25.13355,121.5326,T
妙法寺,臺北市士林區至善路三段307號,25.1232,121.5871,T
飛龍寺,臺北市士林區東山路25巷81弄62號,25.12332,121.541,T
啟明佛寺,臺北市士林區大西路54號,25.09101,121.5247,T
九蓮寺,臺北市士林區劍南路203巷6號,25.10252,121.5578,T
法雨山普宜苑,臺北市士林區至善路三段181巷5弄5號,25.1214,121.5772,T
合誠宮,臺北市士林區平菁街106巷6之1號,25.13051,121.5763,T
平等山法輪禪寺,臺北市士林區平菁街93巷41之1號,25.13903,121.5778,T
坤天亭,臺北市士林區延平北路8段96巷15號,25.10648,121.4834,T
台北地藏禪寺,臺北市士林區延平北路七段189號,25.09961,121.4911,T
無極天聖殿,臺北市士林區平菁街95巷47之1號,25.13338,121.5805,T
廣明寺,臺北市士林區?延平北路六段116巷13號,25.08964,121.5078,T
鶴鳴精舍,臺北市士林區平菁街42巷9號,25.12998,121.572,T
慈生宮,臺北市北投區立農街一段321號,25.11968,121.507,T
靈山大慈寺,臺北市北投區登山路85號,25.15068,121.5154,T
善光寺,臺北市北投區溫泉路銀光巷20號,25.13553,121.5187,T
關渡宮,臺北市北投區知行路360號,25.11768,121.4644,T
中和堂,臺北市北投區奇岩路151號,25.13046,121.5078,T
法雨寺,臺北市北投區登山路108號,25.14806,121.5177,T
北投慈后宮,臺北市北投區清江路169號,25.12824,121.502,T
陽明山五福宮,臺北市北投區行義路1號,25.12409,121.5258,T
中華佛教文化館,臺北市北投區光明路276號,25.13631,121.5105,T
宮玄觀,臺北市北投區復興三路198號,25.14964,121.505,T
台北行天宮北投分宮,臺北市北投區中央北路四段18巷50號,25.13701,121.4776,T
北投天寶聖道宮,臺北市北投區幽雅路杏林巷5之1號,25.13862,121.5142,T
靈法寺,臺北市北投區長壽路20號,25.14297,121.504,T
觀音禪院,臺北市北投區崇仰一路11號,25.12508,121.509,T
法藏寺,臺北市北投區溫泉路156號,25.13925,121.5135,T
福安宮,臺北市北投區公館路85巷2弄2號,25.13111,121.5048,T
陽明山慈惠堂,臺北市北投區奇岩路17號,25.13376,121.508,T
關渡玉女宮,臺北市北投區大度路三段301巷222號,25.11754,121.4639,T
北投至妙寺,臺北市北投區東昇路117之2號,25.15982,121.535,T
照明淨寺,臺北市北投區崇仰七路51、53號,25.13161,121.5138,T
上清宮,臺北市北投區復興三路230巷29號,25.15266,121.5053,T
桃源福德宮,臺北市北投區中央北路三段62號,25.13825,121.4851,T
安國寺,臺北市北投區復興三路101巷10號,25.1471,121.5035,T
北投代天府,臺北市北投區豐年路一段35之1號,25.1339,121.4977,T
台北慈惠堂,臺北市北投區吉利街27號,25.11818,121.505,T
福星宮,臺北市北投區自強街5巷22號,25.11045,121.5124,T
彌陀寺,臺北市北投區東昇路3號,25.14455,121.5211,T
慈航寺,臺北市北投區中和街456號,25.14538,121.4965,T
廣福宮,臺北市北投區大同路臨329之3號,25.14057,121.4993,T
雲來寺,臺北市北投區公館路186號,25.12845,121.5071,T
佛林寺,臺北市北投區溫泉路150之1號,25.13919,121.5134,T
一德福德宮,臺北市北投區中央北路四段515巷3弄臨16之1號,25.12818,121.4693,T
天竺寺,臺北市北投區幽雅路杏林巷3之7號,25.13807,121.5182,T
北投龍雲寺,臺北市北投區幽雅路杏林巷3之6號,25.13807,121.5182,T
汾陽宮,臺北市北投區石牌路一段58巷28弄臨7號,25.11251,121.5121,T
農禪寺,臺北市北投區大業路65巷89號,25.12277,121.4958,T
關渡萬善同公祠,臺北市北投區中央北路四段583巷10弄26號,25.12538,121.4663,T
福慈宮,臺北市北投區中央北路四段30巷臨68號,25.13799,121.4762,T
石牌玄帝宮,臺北市北投區自強街31巷40號,25.11152,121.5124,T
佛樺靜舍,臺北市北投區湖底路20之7號,25.14781,121.538,T
北投天保宮,臺北市北投區中和街446巷74號,25.14678,121.496,T
屈原宮,臺北市北投區洲美街122號,25.09963,121.5057,T
明山宮,臺北市北投區行義路臨115號,25.1279,121.5291,T
木柵忠順廟,臺北市文山區中崙街13號,24.98365,121.5646,T
指南宮,臺北市文山區萬壽路115號,24.97987,121.5869,T
木柵集應廟,臺北市文山區保儀路76號,24.98736,121.5685,T
樟山寺,臺北市文山區老泉街45巷29號,24.97294,121.5794,T
天恩宮,臺北市文山區指南路38巷37之2號,24.97038,121.5922,T
慈光寺,臺北市文山區萬芳路26巷5號,24.99512,121.5691,T
大慈佛社,臺北市文山區試院路4巷22號,24.9895,121.5505,T
祥光寺,臺北市文山區萬壽路63號,24.98893,121.5811,T
景美集應廟,臺北市文山區景美街37號,24.99188,121.5417,T
明德宮,臺北市文山區老泉街45巷27之1號,24.96997,121.5788,T
萬慶巖清水祖師廟,臺北市文山區萬慶街124號,24.99526,121.5362,T
光淨寺,臺北市文山區興隆路四段1巷88號,24.99118,121.5599,T
文山興安宮,臺北市文山區仙岩路16巷64號,24.9964,121.5502,T
頂公館福德宮,臺北市文山區公館街44之1號,25.00549,121.5377,T
西門智慧圖書館,臺北市中正區中華路一段51-1號捷運西門地下街,25.04488,121.5092,L
東區地下街智慧圖書館,臺北市大安區大安路1段77號東區地下街3號店鋪,25.04144,121.546,L
松山機場智慧圖書館,臺北市松山區敦化北路338號地下1樓,25.06298,121.5518,L
太陽圖書館,臺北市萬華區青年路65號,25.02494,121.5037,L
百齡智慧圖書館,臺北市士林區福港街205號,25.08621,121.5179,L
福德智慧圖書館,臺北市信義區福德街15號2樓,25.03624,121.5797,L
古亭智慧圖書館,臺北市中正區寧波西街286號,25.02551,121.5105,L
松山分館,臺北市八德路四段688號5-8樓,25.04987,121.5768,L
民生分館,臺北市敦化北路199巷5號4、5樓,25.05697,121.5515,L
三民分館,臺北市民生東路五段163-1號5、6樓,25.05927,121.5628,L
中崙分館,臺北市長安東路二段229號7-10樓,25.04849,121.546,L
啟明分館,臺北市敦化北路155巷76號,25.05434,121.5515,L
永春分館,臺北市松山路294號3-4樓,25.04309,121.5776,L
三興分館,臺北市吳興街156巷6號4、5樓,25.02908,121.5612,L
六合分館,臺北市信義區松仁路240巷19號3-5樓,25.02454,121.5689,L
總館,臺北市建國南路二段125號,25.02915,121.5384,L
道藩分館,臺北市辛亥路三段11號3樓,25.02158,121.544,L
大安分館,臺北市辛亥路三段223號4、5樓,25.01609,121.5507,L
延吉民眾閱覽室,臺北市延吉街236巷17號3、4樓,25.03641,121.5551,L
成功民眾閱覽室,臺北市和平東路二段311巷29號4樓,25.02543,121.5453,L
龍安民眾閱覽室,臺北市永康街60號2-3樓,25.02856,121.5294,L
中山分館,臺北市松江路367號8樓,25.06438,121.5335,L
長安分館,臺北市長安西路3號4樓,25.05021,121.521,L
大直分館 (含大直書閣),臺北市大直街25號3-5樓,25.08188,121.5468,L
恆安民眾閱覽室,臺北市民權東路一段71巷19號,25.06337,121.5272,L
王貫英先生紀念圖書館,臺北市汀州路二段265號,25.02255,121.5238,L
城中分館,臺北市濟南路二段46號3樓,25.04033,121.5309,L
南機場借還書工作站,臺北市中正區中華路二段315巷16號1樓,25.0284,121.5069,L
延平分館,臺北市保安街47號,25.05917,121.5121,L
大同分館,臺北市重慶北路三段318號,25.07426,121.5133,L
建成分館,臺北市民生西路198-20號4樓,25.0569,121.5161,L
蘭州民眾閱覽室,臺北市昌吉街57號4樓之6,25.06606,121.5151,L
龍山分館,臺北市桂林路65巷6號,25.03855,121.5023,L
東園分館,臺北市東園街199號,25.02266,121.4981,L
西園分館,臺北市興寧街6號3-6樓,25.03219,121.5017,L
萬華分館,臺北市東園街19號5-7樓,25.0277,121.4958,L
柳鄉民眾閱覽室,臺北市環河南路二段102號4樓,25.03684,121.4956,L
景美分館,臺北市羅斯福路五段176巷50號2-4樓,25.00362,121.5363,L
木柵分館,臺北市保儀路13巷3號3、4樓,24.98851,121.5692,L
永建分館,臺北市木柵路一段177號3-4樓,24.98781,121.551,L
萬興分館,臺北市萬壽路27號4-5樓,24.98869,121.5765,L
文山分館,臺北市興隆路二段160號7-9樓,25.00159,121.5514,L
力行分館,臺北市一壽街22號5-8樓,24.97958,121.5565,L
景新分館,臺北市景後街151號5-10樓,24.98992,121.5419,L
安康民眾閱覽室,臺北市興隆路四段105巷1號4樓,24.98753,121.5609,L
萬芳民眾閱覽室,臺北市萬美街一段25號1-2樓,25.00222,121.5692,L
公訓圖書站,臺北市文山區萬美街2段21巷20號5樓(E區),25.00458,121.561,L
南港分館,臺北市市民大道八段367號2-3樓,25.05373,121.608,L
舊莊分館,臺北市舊莊街一段91巷11號2-5樓,25.04131,121.6195,L
親子美育數位圖書館,臺北市南港區研究院路二段61巷15號,25.04418,121.6176,L
龍華民眾閱覽室,臺北市東新街63巷8號,25.04759,121.587,L
北原會館借還書工作站,臺北市向陽路49號4樓,25.05399,121.5945,L
葫蘆堵分館 （含葫蘆堵書閣）,臺北市延平北路五段136巷1號3-9樓,25.07919,121.5105,L
天母分館,臺北市中山北路七段154巷6號3、4樓,25.12335,121.533,L
士林分館臨時替代館(天文館),臺北市基河路363號2樓,25.09583,121.5183,L
李科永紀念圖書館,臺北市中正路15號,25.04083,121.4641,L
北投分館,臺北市光明路251號,25.1363,121.5063,L
稻香分館,臺北市稻香路81號3、4樓,25.14096,121.4889,L
石牌分館,臺北市明德路208巷5號3-10樓,24.97621,121.4598,L
清江分館,臺北市公館路198號3樓,25.12777,121.507,L
吉利分館,臺北市立農街一段366號5-8樓,25.11931,121.5084,L
永明民眾閱覽室,臺北市石牌路二段 115 號 7-8 樓,25.11807,121.5172,L
秀山民眾閱覽室,臺北市中和街534號5-9樓,25.14554,121.4932,L
內湖分館,臺北市民權東路六段99號6樓,25.06932,121.5891,L
東湖分館,臺北市五分街6號,25.06741,121.6126,L
西湖分館,臺北市內湖路一段594號,25.0789,121.5773,L
西中分館,臺北市內湖路1段285巷66號1-2樓,25.08473,121.5666,L
臺北市 市立螢橋國小,121.5145,25.02494,,PRI
臺北市 市立國語實小,121.5108,25.03065,,PRI
臺北市 市立忠孝國小,121.5315,25.04293,,PRI
臺北市 市立河堤國小,121.5222,25.02291,,PRI
臺北市 市立南門國小,121.5094,25.03413,,PRI
臺北市 市立大學附小,121.5157,25.03578,,PRI
臺北市 市立忠義國小,121.5062,25.0297,,PRI
臺北市 市立東門國小,121.5209,25.03858,,PRI
臺北市 市立河堤國小補校,121.5222,25.02291,,PRI
臺北市 市立雙蓮國小,121.5167,25.06016,,PRI
臺北市 市立太平國小,121.5115,25.0614,,PRI
臺北市 市立大龍國小,121.5167,25.0734,,PRI
臺北市 市立永樂國小補校,121.5111,25.0613,,PRI
臺北市 市立蓬萊國小,121.5164,25.056,,PRI
臺北市 市立永樂國小,121.5111,25.0613,,PRI
臺北市 市立延平國小,121.5125,25.06603,,PRI
臺北市 市立大龍國小補校,121.5167,25.0734,,PRI
臺北市 市立日新國小,121.5165,25.05445,,PRI
臺北市 市立大同國小,121.5161,25.06477,,PRI
臺北市 市立大橋國小,121.5125,25.0641,,PRI
臺北市 市立中山國小,121.5263,25.06289,,PRI
臺北市 市立長春國小,121.5338,25.05495,,PRI
臺北市 市立五常國小,121.5415,25.06408,,PRI
臺北市 市立懷生國小,121.5418,25.04523,,PRI
臺北市 市立中正國小,121.5394,25.05066,,PRI
臺北市 市立大直國小,121.5465,25.08026,,PRI
臺北市 市立吉林國小,121.5293,25.05465,,PRI
臺北市 市立中山國小補校,121.5263,25.06289,,PRI
臺北市 市立長安國小,121.5302,25.04951,,PRI
臺北市 市立大佳國小,121.5364,25.07338,,PRI
臺北市 市立永安國小,121.5494,25.07983,,PRI
臺北市 市立濱江國小,121.5609,25.0772,,PRI
臺北市 市立松山國小,121.578,25.05029,,PRI
臺北市 市立民生國小,121.5523,25.05643,,PRI
臺北市 市立三民國小,,25.06322,121.5643,PRI
臺北市 市立西松國小,,25.05233,121.5636,PRI
臺北市 市立民權國小,,25.06242,121.5621,PRI
臺北市 市立健康國小,,25.05668,121.5628,PRI
臺北市 市立敦化國小,,25.04921,121.5486,PRI
臺北市 市立民族國小,,25.05965,121.5518,PRI
臺北市 市立西松國小補校,,25.05233,121.5636,PRI
臺北市 國立臺北教育大學附小,,25.02507,121.5409,PRI
臺北市 私立新民小學,,25.02223,121.5317,PRI
臺北市 市立幸安國小,,25.03758,121.5349,PRI
臺北市 市立金華國小,,25.03224,121.5278,PRI
臺北市 市立公館國小,,25.01242,121.5429,PRI
臺北市 市立和平國小（籌備處）,,25.02071,121.5467,PRI
臺北市 私立復興小學,,25.03943,121.5484,PRI
臺北市 市立龍安國小,,25.02392,121.5349,PRI
臺北市 市立建安國小,,25.02935,121.5462,PRI
臺北市 市立古亭國小,,25.0206,121.5288,PRI
臺北市 市立新生國小,,25.02968,121.5333,PRI
臺北市 市立和平實實驗小學,,25.02071,121.5467,PRI
臺北市 私立立人國際國民中小學,,25.0298,121.5519,PRI
臺北市 市立大安國小,,25.02001,121.5491,PRI
